tract_id,precount_positive,all_positive,median_hhold_inc,median_age,week_19,count_19,week_20,count_20
53033008500,20,170,62933.0,37.4,2019/4/29,91,2020/4/27,12
53033008600,22,155,60349.0,23.8,2019/4/29,81,2020/4/27,21
53033008700,9,111,96630.0,32.3,2019/4/29,74,2020/4/27,8
53033008800,8,45,134107.0,34.3,2019/4/29,27,2020/4/27,8
53033008900,8,111,110313.0,36.9,2019/4/29,42,2020/4/27,32
53033009000,22,169,43406.0,37.9,2019/4/29,49,2020/4/27,54
53033009100,9,53,40938.0,48.6,2019/4/29,47,2020/4/27,12
53033009200,41,188,20573.0,45.3,2019/4/29,24,2020/4/27,33
53033009300,19,169,92347.0,39.4,2019/4/29,46,2020/4/27,24
53033009400,35,189,73642.0,35.3,2019/4/29,82,2020/4/27,28
53033009500,16,148,104028.0,41.9,2019/4/29,110,2020/4/27,29
53033009600,5,143,132889.0,49.1,2019/4/29,74,2020/4/27,21
53033009701,5,111,126623.0,45.6,2019/4/29,82,2020/4/27,47
53033009702,11,106,127727.0,41.7,2019/4/29,79,2020/4/27,27
53033009800,10,108,118429.0,40.6,2019/4/29,82,2020/4/27,26
53033009900,8,109,90024.0,39.6,2019/4/29,74,2020/4/27,24
53033010001,22,158,58310.0,35.2,2019/4/29,33,2020/4/27,4
53033010002,11,129,73180.0,37.2,2019/4/29,47,2020/4/27,12
53033010100,73,414,100890.0,36.7,2019/4/29,102,2020/4/27,28
53033010200,15,111,114224.0,42.9,2019/4/29,32,2020/4/27,16
53033010300,31,228,89500.0,35.1,2019/4/29,49,2020/4/27,12
53033010401,7,124,85227.0,44.3,2019/4/29,23,2020/4/27,34
53033010402,22,138,91429.0,37.8,2019/4/29,23,2020/4/27,24
53033010500,31,190,97196.0,39.7,2019/4/29,91,2020/4/27,20
53033010600,12,122,109058.0,42.4,2019/4/29,85,2020/4/27,40
53033010701,11,111,72500.0,34.3,2019/4/29,16,2020/4/27,12
53033010702,34,155,46792.0,30.6,2019/4/29,40,2020/4/27,20
53033010800,12,158,92692.0,37.7,2019/4/29,85,2020/4/27,12
53033010900,9,43,64034.0,43.0,2019/4/29,103,2020/4/27,12
53033011001,14,215,37188.0,37.6,2019/4/29,35,2020/4/27,21
53033011002,9,198,48250.0,34.9,2019/4/29,44,2020/4/27,12
53033011101,22,251,55170.0,36.8,2019/4/29,81,2020/4/27,13
53033011102,22,217,97099.0,36.1,2019/4/29,48,2020/4/27,24
53033011200,16,171,53807.0,37.8,2019/4/29,87,2020/4/27,46
